employer_id,city_id,contract_id,start_date,end_date,renewed_flag,job_slots,total_contract_value,applications,apply_start_clicks,click_marketplace_value,job_listings
3430880,7059,1869600,4/11/2017,5/10/2017,1,15,1245,20,35,1268.3,0
4092693,3172,2620836,1/2/2018,2/1/2018,1,15,1495,75,160,3300.3,0
4374000,5338,2614800,12/30/2017,1/29/2018,1,15,495,20,105,5531.25,0
6706560,4404,2678184,1/20/2018,2/19/2018,1,15,995,440,670,11468.4,20
2017040,2177,1294824,8/9/2016,8/24/2016,0,15,1745,105,145,4874.3,10
4119067,8324,2141400,7/25/2017,8/24/2017,1,50,1495,50,70,2865.2,10
4698347,4217,2257632,9/4/2017,10/3/2017,0,15,495,15,30,2074.8,0
1829547,1441,1283424,8/3/2016,9/2/2016,1,15,495,0,0,0,0
3072347,754,1800804,3/16/2017,4/15/2017,1,15,1745,0,0,0,0
2806613,4609,1803960,3/17/2017,4/16/2017,1,15,495,0,0,0,0
3968267,5388,2041128,6/19/2017,7/15/2017,0,15,1245,15,15,767.6,5
4450000,6253,2095692,7/8/2017,8/7/2017,1,50,1495,10,60,7639.2,65
5269600,3499,2805588,2/28/2018,3/27/2018,1,15,995,15,60,592.8,5
2424853,4526,1504320,11/9/2016,11/15/2016,0,15,495,0,0,0,0
2614053,7818,1576608,12/12/2016,12/21/2016,0,15,495,0,0,0,0
2775333,6401,1573272,12/10/2016,1/9/2017,1,15,745,0,0,17.1,0
6390000,8997,2601624,12/24/2017,1/23/2018,0,15,995,20,50,2214.6,0
7350987,3656,2844420,3/10/2018,4/9/2018,0,15,1495,80,105,1778.95,5
1915840,11370,1603572,12/23/2016,1/22/2017,1,15,495,35,80,2898.45,10
2678907,5806,1531776,11/22/2016,12/1/2016,0,15,1745,0,0,0,0
2786800,21,1871760,4/12/2017,5/11/2017,1,15,745,0,0,0,0
3799253,523,2235012,8/27/2017,9/26/2017,1,15,495,0,50,1542.8,0
4539547,5572,2296644,9/19/2017,10/18/2017,1,15,1745,165,180,4832.7,0
5402933,9240,2744484,2/9/2018,3/8/2018,1,15,995,15,60,2135.6,0
6185600,1037,2536248,12/7/2017,12/19/2017,0,15,1495,35,40,718.2,0
1560933,840,2022600,6/13/2017,7/12/2017,1,15,495,0,40,1178.35,0
2060320,10972,1248024,7/17/2016,7/22/2016,0,15,1245,20,25,360,0
3749680,10048,1891068,4/20/2017,5/19/2017,1,15,1495,20,40,141.25,5
4960453,9183,2517828,12/1/2017,12/30/2017,1,15,995,315,575,6120.55,0
7538640,5156,2888172,3/23/2018,4/22/2018,0,15,1495,20,25,77.95,0
2990107,1337,1681644,1/28/2017,2/24/2017,0,15,745,45,70,3246.65,15
5909173,5227,2486808,11/19/2017,11/20/2017,0,15,995,0,5,85.5,0
1713413,9635,1379244,9/20/2016,10/19/2016,1,15,745,0,175,5284.8,15
2554293,5624,1500000,11/6/2016,12/5/2016,1,15,1495,0,200,11675.4,0
4374000,5335,2073120,6/30/2017,7/29/2017,1,15,495,35,75,982.5,0
6127653,8682,2915100,3/29/2018,4/28/2018,0,15,1245,0,0,0,0
6362187,7841,2589684,12/22/2017,1/21/2018,1,15,995,0,100,8727.4,0
488880,1676,1481208,10/29/2016,11/28/2016,1,15,745,75,90,5253.3,15
6767040,5618,2693340,1/25/2018,2/21/2018,0,15,995,10,30,1975.05,0
6767040,508,2693340,1/25/2018,2/21/2018,0,15,995,10,30,1975.05,5
1718320,7923,2854776,3/14/2018,4/13/2018,0,15,495,0,55,906.6,5
3064507,8773,1653924,1/15/2017,1/23/2017,0,15,745,0,0,0,0
3478347,10780,1960260,5/18/2017,6/17/2017,1,15,1245,25,25,873.3,0
4367013,1196,2069952,6/29/2017,6/30/2017,0,15,1495,0,0,0,0
4987307,1347,2647800,1/11/2018,2/10/2018,0,15,995,0,555,21437.4,5
2001653,2017,1352832,9/7/2016,10/6/2016,1,15,495,0,0,0,0
2554160,7107,1416852,10/1/2016,10/30/2016,1,15,995,0,185,3662.1,0
5356533,9193,2349084,10/5/2017,11/4/2017,1,15,995,45,60,1586.5,0
5812827,4572,2463492,11/11/2017,12/10/2017,1,15,995,65,110,3053.15,0
1758160,5130,1893156,4/21/2017,5/20/2017,1,15,495,0,0,0,0
2918907,3226,1714884,2/11/2017,3/10/2017,1,15,495,25,55,1749.3,0
7303947,3989,2836128,3/8/2018,4/7/2018,0,15,995,15,25,1531.5,10
2870373,10535,1547724,11/30/2016,12/29/2016,1,15,495,30,35,2398,20
3454880,5225,1797828,3/15/2017,4/14/2017,1,15,745,60,80,1824.65,0
3621920,10841,1857084,4/5/2017,4/24/2017,0,15,745,15,10,36.25,0
3819547,2044,1911864,4/28/2017,5/4/2017,0,15,495,0,0,60.8,0
5412827,3533,2364084,10/11/2017,11/10/2017,1,15,995,0,115,2633.4,0
978880,4162,1761228,3/1/2017,3/28/2017,1,15,1745,0,0,0,0
1993013,2284,1561908,12/6/2016,1/5/2017,0,15,495,0,0,0,0
2781093,4290,1510020,11/11/2016,12/10/2016,1,15,745,0,10,809.4,5
2799147,2445,1952784,5/15/2017,6/14/2017,1,15,745,5,30,753.6,0
3390773,5089,2007948,6/7/2017,7/6/2017,1,15,495,0,5,661.2,0
3678533,9082,1872288,4/12/2017,5/11/2017,1,15,495,5,35,901.8,0
4081227,4117,2412312,10/27/2017,11/26/2017,1,15,745,250,340,10294.2,0
3568400,4575,1843296,3/31/2017,4/20/2017,0,15,745,10,15,317.7,0
4069173,2924,2144028,7/26/2017,8/25/2017,1,15,995,25,90,2789.2,15
4767120,2170,2191536,8/11/2017,9/10/2017,1,15,995,60,150,4781.95,0
1091627,2350,1156764,6/9/2016,7/8/2016,1,15,1495,10,35,780,0
2544000,11166,1684572,1/30/2017,2/7/2017,0,15,745,0,0,0,0
2790747,138,1529736,11/20/2016,12/19/2016,1,15,495,15,40,2171.7,5
3395547,6015,1864392,4/8/2017,5/4/2017,0,15,495,0,25,782.1,10
6735653,3014,2683536,1/22/2018,2/21/2018,1,15,995,50,65,3709.75,0
817227,5985,1502040,11/8/2016,12/7/2016,1,15,1245,40,45,1325.75,5
1754800,2022,1381524,9/21/2016,10/20/2016,1,15,495,0,0,0,0
2413173,9446,1638552,1/8/2017,2/7/2017,1,15,745,0,0,0,0
3354773,11259,1769232,3/3/2017,4/2/2017,1,15,1245,5,380,1337.4,0
5696640,10592,2721840,2/2/2018,3/1/2018,1,15,1495,670,935,22218.35,0
6621280,7808,2656272,1/13/2018,2/12/2018,1,15,995,120,255,5648.4,0
2148213,2471,1337100,8/30/2016,9/29/2016,1,15,1245,0,0,0,0
3430507,8320,2100960,7/11/2017,8/10/2017,1,15,1745,5,55,2121.35,0
3881307,8048,2420136,10/29/2017,11/28/2017,1,15,1245,0,130,3910.75,35
4608827,10576,2800092,2/26/2018,3/25/2018,1,15,495,30,50,2025.8,25
4622853,3570,2235528,8/27/2017,8/29/2017,0,15,495,0,0,15.2,0
1104880,1191,1908012,4/27/2017,5/26/2017,1,15,745,0,205,1272.95,30
1632800,8895,2499168,11/24/2017,12/15/2017,0,50,1745,0,670,15791.15,35
1976347,7298,2082480,7/2/2017,8/1/2017,1,15,495,0,0,0,0
2281733,10208,1963140,5/19/2017,6/18/2017,1,15,495,0,5,266.8,0
4913520,9832,2318004,9/26/2017,10/25/2017,1,15,995,560,515,13611.4,45
5720347,7327,2441028,11/4/2017,11/16/2017,0,15,995,85,95,1548.5,5
1596347,468,1515336,11/14/2016,12/13/2016,1,15,745,50,55,1650.75,0
279707,5805,1185564,6/17/2016,7/16/2016,1,15,495,10,25,450,5
2301280,6889,1595856,12/21/2016,1/18/2017,0,15,745,15,75,6282.9,0
2610347,980,1437600,10/10/2016,11/9/2016,0,15,495,245,405,7289,5
3446320,1993,1877244,4/14/2017,5/13/2017,1,15,1245,80,100,3616,0
3484640,7689,2123772,7/19/2017,8/18/2017,1,15,995,25,50,2945,0
3679360,9003,2194632,8/12/2017,9/11/2017,1,15,495,10,45,1460.6,0
3682240,8993,2021856,6/12/2017,7/10/2017,0,15,1745,15,15,372.8,0
2419733,2208,1708932,2/9/2017,3/8/2017,1,15,745,0,0,0,0
4657867,9435,2513112,11/30/2017,12/29/2017,1,15,1495,95,130,5671.05,0
1829867,1345,1221636,7/3/2016,8/2/2016,1,15,745,0,0,0,0
2732507,2393,1556028,12/2/2016,1/1/2017,1,15,1245,0,0,8.55,0
3111520,5645,2588964,12/22/2017,1/21/2018,1,15,745,170,215,10206.8,0
3423280,4282,1939920,5/10/2017,6/9/2017,1,15,495,10,15,463.6,0
5402933,2971,2455548,11/9/2017,12/8/2017,1,15,995,20,45,1628.3,0
5712213,7129,2622324,1/3/2018,2/2/2018,0,15,1495,30,160,2614.4,0
2123253,10530,1268280,7/27/2016,8/26/2016,0,50,1745,985,1940,17821.25,5
4022453,8402,2681268,1/21/2018,2/20/2018,1,15,1245,55,65,5350.4,0
2723760,847,2238036,8/29/2017,9/28/2017,1,15,495,60,70,678.6,0
3449680,1456,2662476,1/16/2018,2/15/2018,1,15,495,20,45,2546,0
3872213,11434,2467668,11/13/2017,12/12/2017,1,50,1495,460,780,3215.3,0
4893200,4509,2315220,9/24/2017,10/4/2017,0,15,995,0,0,342,0
2285333,9672,2040408,6/19/2017,7/18/2017,1,15,1495,10,10,974.7,0
2382533,363,1347924,9/3/2016,10/2/2016,1,15,1495,0,5,499.2,5
4710560,909,2176032,8/5/2017,9/4/2017,0,15,495,70,85,651.95,0
1477627,9086,1171188,6/13/2016,7/12/2016,1,15,1245,0,40,2094.3,20
1750400,10079,1320780,8/21/2016,9/20/2016,1,15,495,0,130,6004.9,25
2421653,1531,1448844,10/15/2016,11/14/2016,1,15,495,0,130,9983.25,10
3830907,5895,1915656,4/29/2017,5/28/2017,1,15,495,5,5,97.6,0
5897707,10622,2669496,1/18/2018,2/17/2018,1,15,995,80,125,2398.55,0
7253467,7679,2822004,3/3/2018,4/2/2018,0,15,995,55,80,1452.3,15
3625013,9940,1929312,5/5/2017,6/4/2017,1,15,1495,40,45,1753.5,0
3793920,5814,2188020,8/10/2017,8/31/2017,0,50,2995,270,400,12329.75,20
1193733,4529,2099496,7/10/2017,8/9/2017,1,15,1495,5,10,2609.1,0
2319440,3162,1327788,8/25/2016,8/29/2016,0,15,1495,0,0,101,0
2448053,7381,1516260,11/15/2016,12/14/2016,1,15,495,0,0,0,0
3960400,917,1952052,5/14/2017,6/13/2017,1,15,745,0,20,492.95,0
3028880,9836,1777200,3/7/2017,4/6/2017,1,15,495,0,45,594.3,0
5115547,11010,2374128,10/14/2017,11/13/2017,1,15,995,20,45,700.35,0
5431280,1445,2550780,12/12/2017,12/14/2017,0,15,995,0,0,203.55,0
1816320,7650,1133076,6/1/2016,6/30/2016,1,15,495,0,5,13.05,5
2223467,7802,1645968,1/12/2017,2/11/2017,1,15,1495,435,525,13067.55,20
3666293,1930,1867128,4/9/2017,5/8/2017,1,15,995,35,55,1912.25,15
3769680,7236,2161128,7/31/2017,8/11/2017,0,15,1245,20,30,453.15,0
5213040,2552,2307840,9/22/2017,10/21/2017,1,15,1495,0,70,2726.5,0
6700240,9986,2674044,1/19/2018,1/21/2018,0,15,1495,0,0,0,0
4155600,9352,2527620,12/4/2017,1/3/2018,1,15,495,35,50,2021.6,0
1431520,3832,2573556,12/18/2017,1/17/2018,1,15,495,70,105,2868.9,0
3127867,3964,2168580,8/2/2017,9/1/2017,1,15,1495,355,485,10298.05,0
3900080,3498,2736672,2/7/2018,3/6/2018,1,15,495,30,45,1285.2,0
5808107,6203,2549484,12/11/2017,12/19/2017,0,15,995,10,25,458.85,10
1997013,5015,1352112,9/6/2016,10/5/2016,1,50,1745,280,315,11875.5,0
1976427,10163,1344876,9/2/2016,10/1/2016,1,15,745,0,0,0,5
2661307,6943,1529520,11/20/2016,12/9/2016,0,15,745,5,15,585.75,5
2963813,11120,1970940,5/22/2017,6/2/2017,0,15,1495,125,575,1237.7,0
3426907,436,1854012,4/4/2017,5/3/2017,0,15,495,30,60,903.05,5
4012213,7576,2873688,3/20/2018,4/19/2018,0,15,995,0,0,412.95,0
4441920,9,2092548,7/7/2017,8/6/2017,1,15,1495,5,5,10,5
1777253,3465,1264092,7/25/2016,8/24/2016,1,15,1495,125,205,7259.4,0
1919573,11106,2398740,10/23/2017,11/22/2017,0,15,495,0,0,0,0
3364187,4748,1824036,3/24/2017,4/23/2017,1,50,2995,465,555,10868.4,0
3498213,10576,1816692,3/22/2017,3/30/2017,0,15,745,0,10,180.55,0
7362347,5719,2848692,3/11/2018,3/21/2018,0,15,1745,0,0,0,0
1749387,5925,1190916,6/20/2016,7/19/2016,1,50,1245,135,185,6958.85,30
1869600,10683,1364004,9/12/2016,10/11/2016,1,15,1745,40,60,481.5,0
